"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Brandin Cooks","HOU","GB","WR","$5200","14.8","1.5","7%","15642500"
"Derek Carr","LV","TB","QB","$5400","18.2","1.5","1%","15667778"
"Justin Herbert","LAC","JAX","QB","$6400","21.3","1.5","3%","15642190"
"Chris Godwin","TB","LV","WR","$6400","17.2","1.5","7%","15667801"
"DeAndre Hopkins","ARI","SEA","WR","$8200","20.6","1.4","11%","15642450"
"Tyreek Hill","KC","DEN","WR","$6400","17.1","1.4","7%","15642474"
"Kyle Allen","WAS","DAL","QB","$5200","17.6","1.4","1%","15642200"
"James Robinson","JAX","LAC","RB","$6200","16.5","1.3","7%","15642264"
"Russell Wilson","SEA","ARI","QB","$8000","25.9","1.3","15%","15642181"
"Tom Brady","TB","LV","QB","$6600","21.7","1.3","3%","15667777"
"Ryan Tannehill","TEN","PIT","QB","$6200","20.5","1.3","1%","15642192"
"Derrick Henry","TEN","PIT","RB","$7500","19.0","1.2","7%","15642248"
"D'Andre Swift","DET","ATL","RB","$5400","14.8","1.1","3%","15642282"
"Patrick Mahomes","KC","DEN","QB","$7400","23.9","1.1","7%","15642183"
"Jimmy Garoppolo","SF","NE","QB","$5300","17.5","1.1","1%","15642199"
"WAS Football Team ","WAS","DAL","DST","$2500","7.1","1.1","15%","15642951"
"DJ Chark Jr.","JAX","LAC","WR","$5500","14.9","1.0","3%","15642494"
"Tee Higgins","CIN","CLE","WR","$5300","14.4","0.9","7%","15642498"
